"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MAL"	8.86417284755748e-07	0.561028231802702	0.285	0.151	0.0235459023349669	"1"	"MAL"
"AGK"	9.04429248587389e-07	0.506286802219001	0.265	0.14	0.0240243541302268	"1"	"AGK"
"NDUFV2P1"	9.43123490524576e-07	0.351618896628938	0.537	0.348	0.0250521892788043	"1"	"NDUFV2P1"
"P2RY8"	9.96099186730929e-07	0.498973464188996	0.359	0.22	0.0264593826971337	"1"	"P2RY8"
"RPL9P7"	1.11600669059107e-06	0.280709570071015	0.706	0.567	0.0296444857221705	"1"	"RPL9P7"
"SRGAP2B"	1.14438417099167e-06	0.455696382155764	0.353	0.205	0.0303982767340518	"1"	"SRGAP2B"
"BRK1"	1.14545222300739e-06	0.430975399498648	0.683	0.479	0.0304266473997452	"1"	"BRK1"
"AC104820.2"	1.19099595066563e-06	0.501644006700974	0.262	0.139	0.0316364254375311	"1"	"AC104820.2"
"ATIC"	1.25981187984248e-06	0.541883003315243	0.259	0.134	0.0334643829642559	"1"	"ATIC"
"DCTN2"	1.27322539408118e-06	0.489161552753029	0.388	0.238	0.0338206861429783	"1"	"DCTN2"
"AL592284.1"	1.37343769535096e-06	0.385109040029392	0.317	0.176	0.0364826255016076	"1"	"AL592284.1"
"PITRM1"	1.41875851464292e-06	0.485996510373589	0.304	0.174	0.03768648242446	"1"	"PITRM1"
"RP11-94L15.2"	1.48061556948119e-06	0.363493815619848	0.547	0.374	0.0393295913721288	"1"	"RP11-94L15.2"
"WI2-3658N16.1"	1.50694193338431e-06	0.313133156636668	0.57	0.391	0.0400288985764873	"1"	"WI2-3658N16.1"
"PDIA3"	1.50782840457992e-06	0.396186284979145	0.722	0.521	0.0400524459108564	"1"	"PDIA3"
"GDI2"	1.53422584832556e-06	0.412919054141071	0.615	0.452	0.0407536412090718	"1"	"GDI2"
"PSME2P2"	1.5393973789735e-06	0.322850515721114	0.595	0.424	0.0408910125776731	"1"	"PSME2P2"
"PGAM1"	1.59582417275988e-06	0.376670352079499	0.812	0.603	0.0423898775010206	"1"	"PGAM1"
"VOPP1"	1.70333213626633e-06	0.443901971086675	0.515	0.344	0.0452456115356426	"1"	"VOPP1"
"UXT"	1.76242111225612e-06	0.489196181971724	0.385	0.226	0.0468151920048593	"1"	"UXT"
"LSM12"	1.80378292445891e-06	0.439422880686234	0.534	0.363	0.0479138858224021	"1"	"LSM12"
"SFI1"	1.81395949967459e-06	0.421793594028702	0.489	0.339	0.0481842061898563	"1"	"SFI1"
"LSM12P1"	1.82768686014169e-06	0.49452930717464	0.324	0.181	0.0485488460659438	"1"	"LSM12P1"
"NCOA7"	1.85231370021869e-06	0.479071917922059	0.285	0.157	0.049203008818909	"1"	"NCOA7"
"CBLB"	1.93362419011341e-06	0.321591381532186	0.809	0.629	0.0513628593619824	"1"	"CBLB"
"DSTN"	1.95670401955858e-06	0.474609691268861	0.307	0.171	0.0519759288715345	"1"	"DSTN"
"ATF7IP"	1.96672927744142e-06	0.366048194017618	0.767	0.584	0.0522422297966763	"1"	"ATF7IP"
"KIAA1324"	1.96905253729569e-06	0.586370725328313	0.278	0.159	0.0523039425481855	"1"	"KIAA1324"
"HNRNPD"	2.12546644852787e-06	0.383476878793653	0.628	0.43	0.0564587652722458	"1"	"HNRNPD"
"GOT2"	2.18231105425711e-06	0.494045250071354	0.298	0.157	0.0579687285342316	"1"	"GOT2"
"CD96"	2.21106094890923e-06	0.367214374270981	0.725	0.537	0.0587324119858759	"1"	"CD96"
"NUDT21"	2.26101590976189e-06	0.447799436835033	0.46	0.288	0.060059365611005	"1"	"NUDT21"
"ERN1"	2.27483643200395e-06	0.447014276770674	0.314	0.176	0.0604264801433209	"1"	"ERN1"
"TRIP12"	2.37517792565404e-06	0.386953478140664	0.505	0.329	0.0630918512391483	"1"	"TRIP12"
"DGKH"	2.50541340560386e-06	0.458541690054379	0.327	0.203	0.0665512962930552	"1"	"DGKH"
"SDHAP1"	2.72226983039251e-06	0.439685933824887	0.382	0.241	0.0723116535047162	"1"	"SDHAP1"
"TRERF1"	2.78419608008837e-06	0.434124285408921	0.366	0.225	0.0739566004753873	"1"	"TRERF1"
"TGIF1"	2.8557275323543e-06	0.489072029152413	0.424	0.267	0.0758566904419271	"1"	"TGIF1"
