"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"CCR5"	0.000124719965645847	-0.473263311111221	0.187	0.314	1
"HERC6"	0.000127217170851379	-0.497444149098576	0.068	0.167	1
"PRDM8"	0.000128610046938138	0.346779422549572	0.124	0.054	1
"LA16c-3G11.7"	0.000130554047602627	-0.386981390477401	0.207	0.329	1
"NPIPB11"	0.000131349769679491	0.250402771005984	0.586	0.469	1
"SCAMP2"	0.000131398495315764	-0.420784440338187	0.299	0.425	1
"ACTN4"	0.000134267342495955	-0.358378551541142	0.378	0.522	1
"SPSB1"	0.000144676269717331	0.370965993325727	0.12	0.052	1
"CXCR6"	0.000147530990347464	-0.471251199419457	0.271	0.413	1
"PHF20L1"	0.000150251577479541	0.485370020677705	0.259	0.161	1
"DCAF10"	0.000152931923402535	0.474938581143514	0.12	0.053	1
"LETM2"	0.000155774003942472	0.318240936741131	0.12	0.051	1
"NUDT3"	0.000167722705696552	0.390163297336064	0.195	0.109	1
"CTB-119C2.1"	0.000169255622267341	0.458515000945655	0.339	0.232	1
"IFITM3"	0.000170553873477434	-0.357291796319657	0.319	0.448	1
"HNRNPU"	0.000171710236426849	0.25561138613948	0.677	0.577	1
"ACP5"	0.000172690559681131	-0.460730901612451	0.191	0.325	1
"CDKN1A"	0.000173993432048301	0.401096763955626	0.382	0.272	1
"CCR4"	0.000180745797586363	-0.447737802411	0.187	0.306	1
"FTH1P8"	0.000182420859709551	-0.340277569173823	0.124	0.234	1
"MAZ"	0.000182720489388281	0.41874811257762	0.327	0.218	1
"GBP2"	0.000183918964893415	-0.297517837096912	0.562	0.695	1
"FCRL3"	0.000184346408464321	-0.44527635659886	0.187	0.316	1
"BST2"	0.000184419012488611	-0.343532037969966	0.323	0.444	1
"HSPA6"	0.000185827675045379	0.583245887065463	0.104	0.043	1
"RBM25"	0.000186655036858312	0.359270524255831	0.534	0.427	1
"GZMK"	0.000193146482888554	0.537090248377427	0.195	0.109	1
"RP11-192H23.5"	0.000198903860676087	-0.524447853639102	0.04	0.123	1
"TMCO3"	0.000203372111793366	0.329093131614504	0.1	0.04	1
"PPDPF"	0.000209938967948555	-0.367469870796591	0.179	0.299	1
"CCND2"	0.000213952096409118	-0.292196030749287	0.53	0.672	1
"SLC35E1"	0.000225140797628234	0.362937012058444	0.187	0.1	1
"NFE2L3"	0.000227139222537924	0.348709179933358	0.171	0.09	1
"HLA-DRB5"	0.000243722613734553	-0.374373267432342	0.39	0.491	1
"MAST4"	0.000250983446825154	-0.350727705927663	0.171	0.299	1
"PPP4R2"	0.000254941078546017	0.357833064330538	0.331	0.219	1
"SLC7A1"	0.000256932626145323	0.34349476495096	0.167	0.087	1
"KDM6B"	0.000261580217279686	0.37663681939529	0.41	0.301	1
"RPS4XP2"	0.000270410608578767	-0.262808905943076	0.259	0.376	1
"SP100"	0.000281261648860926	-0.256651587707074	0.669	0.785	1
"MCTP1"	0.00028572472478414	0.571259716464471	0.112	0.051	1
"GRAMD3"	0.00028681862082105	0.442656227286812	0.235	0.142	1
"RNF145"	0.000289812438391656	-0.441074254981736	0.116	0.216	1
"RHOC"	0.000295536725041207	-0.442005857815256	0.263	0.379	1
"RPSAP15"	0.000299370136581447	-0.277126776231883	0.41	0.536	1
